what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233656115
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424233657287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233662809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233666167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233670590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233671359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233671863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233686640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233689873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233690127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233691760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233693063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233699160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424233701149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424233701729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233702088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233706648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424233710697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424233711880
